FECHA (YYMMDD);HORA (HHMM);Registros validados;Registros preliminares;Registros no validados;
220215;1300;104;;;
220215;1400;108;;;
220215;1500;103;;;
220215;1600;93;;;
220215;1700;69;;;
220215;1800;56;;;
220215;1900;60;;;
220215;2000;61;;;
220215;2100;48;;;
220215;2200;48;;;
220215;2300;43;;;
220216;0000;46;;;
220216;0100;47;;;
220216;0200;47;;;
220216;0300;58;;;
220216;0400;76;;;
220216;0500;65;;;
220216;0600;88;;;
220216;0700;71;;;
220216;0800;87;;;
220216;0900;104;;;
220216;1000;92;;;
220216;1100;94;;;
220216;1200;83;;;
220216;1300;87;;;
220216;1400;89;;;
220216;1500;85;;;
220216;1600;73;;;
220216;1700;80;;;
220216;1800;85;;;
220216;1900;69;;;
220216;2000;72;;;
220216;2100;82;;;
220216;2200;85;;;
220216;2300;83;;;
220217;0000;73;;;
220217;0100;54;;;
220217;0200;59;;;
220217;0300;52;;;
220217;0400;42;;;
220217;0500;49;;;
220217;0600;79;;;
220217;0700;93;;;
220217;0800;71;;;
220217;0900;76;;;
220217;1000;82;;;
220217;1100;91;;;
220217;1200;85;;;
220217;1300;81;;;
220217;1400;77;;;
220217;1500;72;;;
220217;1600;83;;;
220217;1700;91;;;
220217;1800;104;;;
220217;1900;85;;;
220217;2000;84;;;
220217;2100;64;;;
220217;2200;54;;;
220217;2300;63;;;
220218;0000;61;;;
220218;0100;70;;;
220218;0200;63;;;
220218;0300;52;;;
220218;0400;52;;;
220218;0500;59;;;
220218;0600;79;;;
220218;0700;93;;;
220218;0800;80;;;
220218;0900;93;;;
220218;1000;102;;;
220218;1100;88;;;
220218;1200;66;;;
220218;1300;72;;;
220218;1400;84;;;
220218;1500;124;;;
220218;1600;119;;;
220218;1700;100;;;
220218;1800;89;;;
220218;1900;82;;;
220218;2000;82;;;
220218;2100;41;;;
220218;2200;41;;;
220218;2300;28;;;
220219;0000;35;;;
220219;0100;60;;;
220219;0200;42;;;
220219;0300;56;;;
220219;0400;51;;;
220219;0500;48;;;
220219;0600;69;;;
220219;0700;60;;;
220219;0800;65;;;
220219;0900;84;;;
220219;1000;85;;;
220219;1100;74;;;
220219;1200;75;;;
220219;1300;62;;;
220219;1400;54;;;
220219;1500;54;;;
220219;1600;50;;;
220219;1700;61;;;
220219;1800;70;;;
220219;1900;70;;;
220219;2000;68;;;
220219;2100;75;;;
220219;2200;65;;;
220219;2300;60;;;
220220;0000;70;;;
220220;0100;68;;;
220220;0200;58;;;
220220;0300;54;;;
220220;0400;49;;;
220220;0500;66;;;
220220;0600;56;;;
220220;0700;52;;;
220220;0800;65;;;
220220;0900;51;;;
220220;1000;55;;;
220220;1100;53;;;
220220;1200;56;;;
220220;1300;53;;;
220220;1400;43;;;
220220;1500;43;;;
220220;1600;52;;;
220220;1700;50;;;
220220;1800;49;;;
220220;1900;51;;;
220220;2000;44;;;
220220;2100;30;;;
220220;2200;22;;;
220220;2300;19;;;
220221;0000;13;;;
220221;0100;16;;;
220221;0200;28;;;
220221;0300;48;;;
220221;0400;43;;;
220221;0500;30;;;
220221;0600;72;;;
220221;0700;77;;;
220221;0800;45;;;
220221;0900;74;;;
220221;1000;75;;;
220221;1100;75;;;
220221;1200;64;;;
220221;1300;70;;;
220221;1400;83;;;
220221;1500;70;;;
220221;1600;74;;;
220221;1700;65;;;
220221;1800;54;;;
220221;1900;52;;;
220221;2000;48;;;
220221;2100;43;;;
220221;2200;36;;;
220221;2300;28;;;
220222;0000;23;;;
220222;0100;18;;;
220222;0200;25;;;
220222;0300;23;;;
220222;0400;19;;;
220222;0500;34;;;
220222;0600;70;;;
220222;0700;53;;;
220222;0800;54;;;
220222;0900;51;;;
