edad,ypchtotcor,educc,pobreza
51,201250.0,2,2.0
28,201250.0,4,2.0
43,398333.0,4,3.0
47,398333.0,6,3.0
21,398333.0,5,3.0
77,530611.0,1,3.0
73,369528.0,2,3.0
77,369528.0,1,3.0
30,50000.0,4,1.0
35,50000.0,1,1.0
56,336959.0,4,3.0
54,336959.0,4,3.0
31,303772.0,4,3.0
43,303772.0,4,3.0
89,704664.0,3,3.0
74,292790.0,1,3.0
65,292790.0,4,3.0
91,634498.0,1,3.0
73,486593.0,1,3.0
54,486593.0,4,3.0
54,486593.0,4,3.0
76,515707.0,4,3.0
80,515707.0,3,3.0
44,302844.0,4,3.0
51,302844.0,6,3.0
27,302844.0,5,3.0
19,302844.0,4,3.0
69,302844.0,1,3.0
67,302844.0,2,3.0
46,200000.0,6,2.0
46,200000.0,6,2.0
18,200000.0,4,2.0
45,961216.0,6,3.0
25,961216.0,5,3.0
24,961216.0,6,3.0
37,2298333.0,6,3.0
37,2298333.0,6,3.0
50,268355.0,6,3.0
40,268355.0,5,3.0
20,268355.0,5,3.0
68,1925000.0,6,3.0
58,915417.0,6,3.0
61,915417.0,6,3.0
56,900833.0,6,3.0
33,900833.0,6,3.0
20,900833.0,5,3.0
43,2130417.0,6,3.0
40,248000.0,5,3.0
38,248000.0,6,3.0
19,248000.0,5,3.0
51,893976.0,6,3.0
23,893976.0,6,3.0
21,893976.0,5,3.0
60,266667.0,6,3.0
59,266667.0,6,3.0
23,663333.0,5,3.0
51,1010833.0,6,3.0
63,310291.0,3,3.0
67,310291.0,3,3.0
74,332993.0,3,3.0
64,332993.0,4,3.0
29,332993.0,5,3.0
42,332993.0,6,3.0
53,422084.0,2,3.0
51,422084.0,1,3.0
36,263965.0,6,3.0
62,263965.0,1,3.0
43,238833.0,4,3.0
22,739084.0,3,3.0
23,739084.0,4,3.0
76,425000.0,2,3.0
75,425000.0,4,3.0
34,475000.0,6,3.0
37,475000.0,4,3.0
40,521069.0,6,3.0
18,521069.0,4,3.0
38,379102.0,4,3.0
38,379102.0,4,3.0
30,379102.0,4,3.0
44,187500.0,2,2.0
28,187500.0,3,2.0
24,187500.0,4,2.0
36,269238.0,6,3.0
45,1107500.0,6,3.0
65,1107500.0,6,3.0
38,300602.0,4,3.0
31,300602.0,5,3.0
44,321175.0,2,3.0
22,321175.0,5,3.0
52,575000.0,4,3.0
30,575000.0,6,3.0
72,974000.0,3,3.0
92,1467167.0,3,3.0
63,1467167.0,6,3.0
80,892334.0,3,3.0
69,675611.0,2,3.0
44,74781.0,1,1.0
27,74781.0,3,1.0
41,661959.0,6,3.0
64,473259.0,6,3.0
63,473259.0,6,3.0
85,473259.0,1,3.0
64,466667.0,6,3.0
55,466667.0,4,3.0
56,450000.0,5,3.0
31,450000.0,6,3.0
26,450000.0,5,3.0
65,546500.0,3,3.0
40,546500.0,4,3.0
63,1400000.0,6,3.0
30,1400000.0,5,3.0
67,715807.0,1,3.0
